========================================================
  BS(45,44) — Thermodynamically Guided Solver
  Targeting NPAF=0 inside Theorem 2.2 Manifold
  [ Threads: 7 ]
========================================================
Loaded 180 valid sum signatures.

[15384.5s] SA epochs explored locally: 1092
[15452.8s] SA epochs explored locally: 1099
[15481.3s] SA epochs explored locally: 1106
[15505.5s] SA epochs explored locally: 1113
[15618.1s] SA epochs explored locally: 1120
[15718s] SA epochs explored locally: 1127
[15873s] SA epochs explored locally: 1134
[15889.3s] SA epochs explored locally: 1141
[16020s] SA epochs explored locally: 1148
[16028.3s] SA epochs explored locally: 1155
[16036.6s] SA epochs explored locally: 1162
[16121.6s] SA epochs explored locally: 1169
[16198.5s] SA epochs explored locally: 1176
[16428.3s] SA epochs explored locally: 1183
[16476.2s] SA epochs explored locally: 1190
[16642s] SA epochs explored locally: 1197
[16823.4s] SA epochs explored locally: 1204
[16902.2s] SA epochs explored locally: 1211
[16910s] SA epochs explored locally: 1218
[16921.4s] SA epochs explored locally: 1225
[17110.8s] SA epochs explored locally: 1232
[17193.5s] SA epochs explored locally: 1239
[17246.8s] SA epochs explored locally: 1246
[17274.7s] SA epochs explored locally: 1253
[17478.5s] SA epochs explored locally: 1260
[17615.6s] SA epochs explored locally: 1267
[17679.4s] SA epochs explored locally: 1274
[17695.7s] SA epochs explored locally: 1281
[17915.5s] SA epochs explored locally: 1288
[18066.5s] SA epochs explored locally: 1295
[18163s] SA epochs explored locally: 1302
[18296.1s] SA epochs explored locally: 1309
[18328.3s] SA epochs explored locally: 1316
[18520.5s] SA epochs explored locally: 1323
[18540.4s] SA epochs explored locally: 1330
[18611.9s] SA epochs explored locally: 1337
[18939.8s] SA epochs explored locally: 1344
[19031.4s] SA epochs explored locally: 1351
[19185.4s] SA epochs explored locally: 1358
[19225.3s] SA epochs explored locally: 1365
[19233.5s] SA epochs explored locally: 1372
[19334.1s] SA epochs explored locally: 1379
[19354.3s] SA epochs explored locally: 1386
[19458.3s] SA epochs explored locally: 1393
[19533.8s] SA epochs explored locally: 1400
[19569.8s] SA epochs explored locally: 1407
[19578s] SA epochs explored locally: 1414
[19594.2s] SA epochs explored locally: 1421
[19790.4s] SA epochs explored locally: 1428
[20079.1s] SA epochs explored locally: 1435
[20146.4s] SA epochs explored locally: 1442
[20174.7s] SA epochs explored locally: 1449
[20222.8s] SA epochs explored locally: 1456
[20246.8s] SA epochs explored locally: 1463
[20294.8s] SA epochs explored locally: 1470
[20338.5s] SA epochs explored locally: 1477
[20339.9s] SA epochs explored locally: 1484
[20431.2s] SA epochs explored locally: 1491
[20443.2s] SA epochs explored locally: 1498
[20451.4s] SA epochs explored locally: 1505
[20494.9s] SA epochs explored locally: 1512
[20571s] SA epochs explored locally: 1519
[20599.2s] SA epochs explored locally: 1526
[20765.3s] SA epochs explored locally: 1533
[20876.8s] SA epochs explored locally: 1540
[20904.8s] SA epochs explored locally: 1547
[20952.8s] SA epochs explored locally: 1554
[20961s] SA epochs explored locally: 1561
[20973s] SA epochs explored locally: 1568
========================================================
  BS(45,44) — Thermodynamically Guided Solver
  Targeting NPAF=0 inside Theorem 2.2 Manifold
  [ Threads: 7 ]
========================================================
Loaded 180 valid sum signatures.

[71.5668s] SA epochs explored locally: 7 Speed: 0.0978107
[61768.7s] SA epochs explored locally: 14 Speed: 0.000226652
[61859.2s] SA epochs explored locally: 21 Speed: 0.00033948
[61931.9s] SA epochs explored locally: 28 Speed: 0.000452109
[61996.4s] SA epochs explored locally: 35 Speed: 0.000564549
[62083.1s] SA epochs explored locally: 42 Speed: 0.000676513
[62173.4s] SA epochs explored locally: 49 Speed: 0.000788119
[62218.5s] SA epochs explored locally: 56 Speed: 0.000900054
[62245.1s] SA epochs explored locally: 63 Speed: 0.00101213
[62267.6s] SA epochs explored locally: 70 Speed: 0.00112418
[62409.4s] SA epochs explored locally: 77 Speed: 0.00123379
[62641.9s] SA epochs explored locally: 84 Speed: 0.00134095
[62714.8s] SA epochs explored locally: 91 Speed: 0.00145101
[62748.9s] SA epochs explored locally: 98 Speed: 0.00156178
[62938.3s] SA epochs explored locally: 105 Speed: 0.0016683
